,Unnamed: 0,tweets,clean_text,Sentiment
460,460,FGM jurors told to look past 'horror' http://bbc.in/1Hd2LpK,fgm jurors told look past horror,NEUTRAL
461,461,Ambulance strike to go ahead in NI http://bbc.in/1zyC4s7,ambulance strike go ahead ni,NEUTRAL
462,462,Care spend 'cut by fifth in decade' http://bbc.in/18tUqi6,care spend cut fifth decade,NEUTRAL
463,463,NHS backs multimillion pound drug http://bbc.in/1JGeIlI,nhs backs multimillion pound drug,NEUTRAL
464,464,NHS 'crisis guidelines' questioned http://bbc.in/1za5A4f,nhs crisis guidelines questioned,NEUTRAL
465,465,VIDEO: 'Cash incentives stop pregnant smokers' http://bbc.in/18sSAOi,video cash incentives stop pregnant smokers,NEUTRAL
466,466,VIDEO: Warning over asthma diagnosis http://bbc.in/18sSBSj,video warning asthma diagnosis,NEUTRAL
467,467,Care calculator launched by BBC http://bbc.in/1z9sPLD,care calculator launched bbc,NEUTRAL
468,468,Many asthma diagnoses 'may be wrong' http://bbc.in/1JDFA5O,many asthma diagnoses may wrong,NEUTRAL
469,469,Coupons 'help pregnant smokers quit' http://bbc.in/1JDFBGJ,coupons help pregnant smokers quit,NEUTRAL
470,470,The cost of being unhealthy http://bbc.in/1H7uBnh,the cost unhealthy,NEGATIVE
471,471,Unison calls off strike by NHS staff http://bbc.in/1z6HcAq,unison calls strike nhs staff,NEUTRAL
472,472,Doctors warn on assisted suicide law http://bbc.in/18ptTSW,doctors warn assisted suicide law,NEUTRAL
473,473,How much does NHS Wales spend? http://bbc.in/1z5Vb9B,how much nhs wales spend,NEUTRAL
474,474,Double-chin jab approval sought http://bbc.in/1Jzg15I,double chin jab approval sought,NEUTRAL
475,475,VIDEO: 3D printed heart saves girl's life http://bbc.in/18nQoHU,video printed heart saves girl life,NEUTRAL
476,476,Biggest hospital to be handed over http://bbc.in/1ypvDAx,biggest hospital handed,NEUTRAL
477,477,Diabetes 'info prescription' plan http://bbc.in/1H49HFB,diabetes info prescription plan,NEUTRAL
478,478,VIDEO: Concern over dementia-drugs 'link' http://bbc.in/1z4Rzon,video concern dementia drugs link,NEUTRAL
479,479,High cholesterol in mid-life risky http://bbc.in/18nw1L1,high cholesterol mid life risky,NEGATIVE
480,480,Waiting lists need 'radical' action http://bbc.in/18nw1KW,waiting lists need radical action,NEUTRAL
481,481,Major health review to be published http://bbc.in/15GecEP,major health review published,NEUTRAL
482,482,Post-Ebola 'Marshall Plan' needed http://bbc.in/1zlkk3h,post ebola marshall plan needed,NEUTRAL
483,483,Miliband to pledge longer care visits http://bbc.in/1zksTeQ,miliband pledge longer care visits,NEUTRAL
484,484,Dementia 'link' to common drugs http://bbc.in/1ympPb0,dementia link common drugs,NEUTRAL
485,485,VIDEO: What is it like to be disabled at a gig? http://bbc.in/1zglLzX,video what like disabled gig,NEUTRAL
486,486,VIDEO: Stigma of caring for Ebola patients http://bbc.in/1uQrGKx,video stigma caring ebola patients,NEUTRAL
487,487,VIDEO: TV ad warns of heartburn-cancer link http://bbc.in/1uPB69f,video tv ad warns heartburn cancer link,NEUTRAL
488,488,VIDEO: War hero's pioneering brain treatment http://bbc.in/1z0ETyN,video war hero pioneering brain treatment,NEUTRAL
489,489,Hearing loss care demand rises http://bbc.in/1z0EVGU,hearing loss care demand rises,NEUTRAL
490,490,Umami taste buds 'key to health' http://bbc.in/1D7CmUc,umami taste buds key health,NEUTRAL
491,491,Heartburn 'could be sign of cancer' http://bbc.in/1D7CnYl,heartburn could sign cancer,NEUTRAL
492,492,Cosmetic surgery 'popularity falls' http://bbc.in/1D7CmUb,cosmetic surgery popularity falls,NEUTRAL
493,493,VIDEO: Mentally ill girl put in police cell http://bbc.in/1yZKrcF,video mentally ill girl put police cell,NEGATIVE
494,494,WHO vows reform after Ebola 'shocks' http://bbc.in/1yYPzOg,who vows reform ebola shocks,NEUTRAL
495,495,The 'problem' of medical drug prices http://bbc.in/15wkjLR,the problem medical drug prices,NEGATIVE
496,496,Deadly dip: baseball's toxic tradition http://bbc.in/1tcuvoc,deadly dip baseball toxic tradition,NEGATIVE
497,497,UK Ebola nurse 'happy to be alive' http://bbc.in/1GOtuc7,uk ebola nurse happy alive,POSITIVE
498,498,The man trapped in constant deja vu http://bbc.in/1GNpzMu,the man trapped constant deja vu,NEGATIVE
499,499,VIDEO: Doctors in drive to attract new GPs http://bbc.in/15pKjIK,video doctors drive attract new gps,NEUTRAL
500,500,VIDEO: Body clocks and blindness http://bbc.in/1yTPbRi,video body clocks blindness,NEUTRAL
501,501,Post-traumatic stress 'in 1300BC' http://bbc.in/1z0tv98,post traumatic stress bc,NEUTRAL
502,502,New video aims to boost GP numbers http://bbc.in/1yTPb3M,new video aims boost gp numbers,NEUTRAL
503,503,VIDEO: How winter wards help hospitals http://bbc.in/1CrR6iJ,video how winter wards help hospitals,NEUTRAL
504,504,VIDEO: 'I wasn't happy with my nose job' http://bbc.in/1CY0aKh,video happy nose job,POSITIVE
505,505,A&amp;E waiting times in England improve http://bbc.in/1yQUsJ7,amp waiting times england improve,NEUTRAL
506,506,VIDEO: Ebola experience 'life changing' http://bbc.in/1GG710B,video ebola experience life changing,NEUTRAL
507,507,VIDEO: Talks to avert NHS strike continue http://bbc.in/1y6M6t2,video talks avert nhs strike continue,NEUTRAL
508,508,Ebola vaccine 'shipped to Liberia' http://bbc.in/187lIKS,ebola vaccine shipped liberia,NEUTRAL
509,509,Plastic surgery rules proposed http://bbc.in/1CoLwgZ,plastic surgery rules proposed,NEUTRAL
510,510,Blood pressure device 'promising' http://bbc.in/1yPzR87,blood pressure device promising,POSITIVE
511,511,Masked tutors 'boost nurse training' http://bbc.in/1yUP62P,masked tutors boost nurse training,NEUTRAL
512,512,Mickey Mouse and measles http://bbc.in/15h7btU,mickey mouse measles,NEUTRAL
513,513,Falling Ebola cases 'turning point' http://bbc.in/1yMGmZw,falling ebola cases turning point,NEUTRAL
514,514,GP practices in special measures http://bbc.in/1GAFWfw,gp practices special measures,NEUTRAL
515,515,Cigarette package law brought forward http://bbc.in/15dwTzH,cigarette package law brought forward,NEUTRAL
516,516,Depression 'more common in military' http://bbc.in/1GyqtMI,depression common military,NEGATIVE
517,517,Exercise advice is 'unrealistic' http://bbc.in/1CRAjUe,exercise advice unrealistic,NEGATIVE
518,518,VIDEO: Peru doctors test portable cancer pen http://bbc.in/1GvW5Tp,video peru doctors test portable cancer pen,NEUTRAL
519,519,Death certificate overhaul 'deferred' http://bbc.in/182OPyV,death certificate overhaul deferred,NEGATIVE
520,520,Ebola scientist warns business elite http://bbc.in/182OPiu,ebola scientist warns business elite,NEUTRAL
521,521,VIDEO: Could new heart test save women? http://bbc.in/1yHjcUj,video could new heart test save women,NEUTRAL
522,522,Partners can 'make pain worse' http://bbc.in/1yHaKUS,partners make pain worse,MIXED
523,523,VIDEO: Care system 'failing the elderly' http://bbc.in/1yHaKUR,video care system failing elderly,NEGATIVE
524,524,NHS: The parties' spending plans http://bbc.in/1CNHigX,nhs the parties spending plans,NEUTRAL
525,525,Care cuts 'leave old high and dry' http://bbc.in/1C7Srep,care cuts leave old high dry,MIXED
526,526,Newer heart attack test for women http://bbc.in/1GslE7M,newer heart attack test women,NEUTRAL
527,527,Treat NHS whistleblowers better - MPs http://bbc.in/1C79wVC,treat nhs whistleblowers better mps,NEUTRAL
528,528,Ebola NHS doctor returns to work http://bbc.in/1C23Qwd,ebola nhs doctor returns work,NEUTRAL
529,529,Trust drops daily 'meals on wheels' http://bbc.in/1GnIsp2,trust drops daily meals wheels,NEUTRAL
530,530,Rocketing vaccine cost warning http://bbc.in/1xPy6DT,rocketing vaccine cost warning,NEUTRAL
531,531,Bid to tackle hospital bed-blocking http://bbc.in/1yDTwef,bid tackle hospital bed blocking,NEUTRAL
532,532,VIDEO: Could volunteers help A&amp;E crisis? http://bbc.in/1C0wpdo,video could volunteers help amp crisis,NEUTRAL
533,533,Health trust ordered to improve http://bbc.in/1yCAF05,health trust ordered improve,MIXED
534,534,First transplant from UK newborn http://bbc.in/150SXgE,first transplant uk newborn,NEUTRAL
535,535,Global soil hunt for new drugs http://bbc.in/1CJdYrQ,global soil hunt new drugs,NEUTRAL
536,536,Call the Midwife in Bangladesh http://bbc.in/1507Vn2,call midwife bangladesh,NEUTRAL
537,537,Chinese man's rare stem cell match http://bbc.in/1CIrpZ1,chinese man rare stem cell match,NEUTRAL
538,538,Fitness 'rubs off on your partner' http://bbc.in/1yzNisH,fitness rubs partner,NEUTRAL
539,539,Doctor 'performed FGM on new mother' http://bbc.in/1yzIIxJ,doctor performed fgm new mother,NEUTRAL
540,540,"Â£40,000 legal costs of gay blood ban http://bbc.in/14XjhbH",legal costs gay blood ban,NEUTRAL
541,541,Higher dementia rates found in north http://bbc.in/1yCT2DK,higher dementia rates found north,NEUTRAL
542,542,VIDEO: Guinea's Ebola culture battle http://bbc.in/1yybRpU,video guinea ebola culture battle,NEUTRAL
543,543,Dentists 'not clear about costs' http://bbc.in/1yweZG3,dentists clear costs,NEUTRAL
544,544,'Designer baby debate should start' http://bbc.in/1yweXhn,designer baby debate start,NEUTRAL
545,545,Miliband pledges mental health push http://bbc.in/1yxEDqO,miliband pledges mental health push,NEUTRAL
546,546,Clegg backs plan to reduce suicides http://bbc.in/1xIpiQr,clegg backs plan reduce suicides,NEGATIVE
547,547,'Give flu jab to popular med students' http://bbc.in/1BKPgcd,give flu jab popular med students,NEUTRAL
548,548,Food tax 'would fund public health' http://bbc.in/1xyAkHL,food tax would fund public health,NEUTRAL
549,549,Poor sleep 'link to teen drink risk' http://bbc.in/1GbtqCI,poor sleep link teen drink risk,NEGATIVE
550,550,Most pupils 'never shower' after PE http://bbc.in/1Gbtsup,most pupils never shower pe,NEUTRAL
551,551,VIDEO: 'Winter ward' to ease pressure http://bbc.in/1G8n1Zc,video winter ward ease pressure,NEUTRAL
552,552,Possible Ebola case flown to UK http://bbc.in/1G6PUVv,possible ebola case flown uk,NEUTRAL
553,553,Wales and NI A&amp;E waits 'worsen' http://bbc.in/1G6EEIW,wales ni amp waits worsen,NEGATIVE
554,554,VIDEO: Could you afford Â£700 a week for care? http://bbc.in/14Hroc9,video could afford week care,NEUTRAL
555,555,Meet the children orphaned by Ebola http://bbc.in/1G6vZ9e,meet children orphaned ebola,NEUTRAL
556,556,Stress 'stops empathy for strangers' http://bbc.in/1yoC23U,stress stops empathy strangers,NEUTRAL
557,557,Closing eyes 'aids memory recall' http://bbc.in/14GifAu,closing eyes aids memory recall,NEUTRAL
558,558,A&amp;Es given safe nurse staffing rules http://bbc.in/14GifAt,amp es given safe nurse staffing rules,NEUTRAL
559,559,NHS chief: 'More cancer cuts likely' http://bbc.in/1Bxmls3,nhs chief more cancer cuts likely,NEUTRAL
560,560,Unusual activities to get you moving http://bbc.in/1ymrAda,unusual activities get moving,NEUTRAL
561,561,Ebola cases declining in West Africa http://bbc.in/1CpGHlt,ebola cases declining west africa,NEUTRAL
562,562,NHS urged to 'take back' hospital http://bbc.in/1ykIAk4,nhs urged take back hospital,NEUTRAL
563,563,AUDIO: Three days in a hospital stock room http://bbc.in/1ymot3m,audio three days hospital stock room,NEUTRAL
564,564,Hibernating hints at dementia therapy http://bbc.in/1Buzan0,hibernating hints dementia therapy,NEUTRAL
565,565,VIDEO: How do our brains deteriorate with age? http://bbc.in/1FZP8tt,video how brains deteriorate age,NEUTRAL
566,566,Cannabis addicts 'let down' http://bbc.in/14CuaiI,cannabis addicts let,NEUTRAL
567,567,VIDEO: Feeling the heat in protective gear http://bbc.in/1Btz277,video feeling heat protective gear,POSITIVE
568,568,Infected blood legal case begins http://bbc.in/1ylwLbG,infected blood legal case begins,NEUTRAL
569,569,Labour pledges caps on fat and salt http://bbc.in/1FYRkS0,labour pledges caps fat salt,NEUTRAL
570,570,Inactivity 'kills more than obesity' http://bbc.in/1ylwIws,inactivity kills obesity,NEGATIVE
571,571,Suspected Ebola case at UK hospital http://bbc.in/1yiEuZK,suspected ebola case uk hospital,NEUTRAL
572,572,"VIDEO: More than 400,000 extra A&amp;E visits http://bbc.in/1FXfSe5",video more extra amp visits,NEUTRAL
573,573,VIDEO: Actor Bachchan on disease fight http://bbc.in/1ClRoVW,video actor bachchan disease fight,NEUTRAL
574,574,VIDEO: Pregnant women more at risk of Ebola http://bbc.in/1yjXp4T,video pregnant women risk ebola,NEUTRAL
575,575,VIDEO: PM quizzed on ambulance death claims http://bbc.in/14ztASV,video pm quizzed ambulance death claims,NEUTRAL
576,576,"Exercise helps with ME, study says http://bbc.in/1FVaxUJ",exercise helps me study says,NEUTRAL
577,577,"More than 400,000 extra A&amp;E visits http://bbc.in/1yfmI9F",more extra amp visits,NEUTRAL
578,578,VIDEO: Ageing without children 'taboo topic' http://bbc.in/1Bods40,video ageing without children taboo topic,NEGATIVE
579,579,Ebola care centre for pregnant women http://bbc.in/1BnxD20,ebola care centre pregnant women,NEUTRAL
580,580,Poor diabetes care 'costing lives' http://bbc.in/1ydsBnY,poor diabetes care costing lives,NEGATIVE
581,581,Young jobless 'face isolation risk' http://bbc.in/14xPUMN,young jobless face isolation risk,NEUTRAL
582,582,VIDEO: CDC Director optimistic on Ebola http://bbc.in/1Bm8WmL,video cdc director optimistic ebola,MIXED
583,583,A&amp;E stress 'worse than Iraq war' http://bbc.in/1BiDsxK,amp stress worse iraq war,NEGATIVE
584,584,The secret history of Special Brew http://bbc.in/1BiDqWG,the secret history special brew,NEUTRAL
585,585,MSPs consider assisted suicide laws http://bbc.in/1CcFspm,msps consider assisted suicide laws,NEUTRAL
586,586,VIDEO: Changing attitudes to older people http://bbc.in/14U5DGr,video changing attitudes older people,NEUTRAL
587,587,Australians to pay more to see GPs http://bbc.in/1FONn29,australians pay see gps,MIXED
588,588,Computers 'good judge of character' http://bbc.in/1ydvm73,computers good judge character,POSITIVE
589,589,Regular naps are 'key to learning' http://bbc.in/1ydvkfn,regular naps key learning,NEUTRAL
590,590,So is cancer mostly 'bad luck' or not? http://bbc.in/1xiC8oa,so cancer mostly bad luck,NEGATIVE
591,591,The transgender 13-year-old http://bbc.in/1xiC8V8,the transgender year old,NEUTRAL
592,592,NHS issues cold weather alert http://bbc.in/14qzNQZ,nhs issues cold weather alert,MIXED
593,593,Dozens died during 999 downgrade http://bbc.in/1y4WYNc,dozens died downgrade,NEGATIVE
594,594,Cuts to cancer treatments announced http://bbc.in/14qzQfL,cuts cancer treatments announced,NEUTRAL
595,595,VIDEO: Booze-free bar and club for London http://bbc.in/14qzQfG,video booze free bar club london,NEUTRAL
596,596,VIDEO: Can sugar cure painful leg ulcers? http://bbc.in/1C8cPcU,video can sugar cure painful leg ulcers,NEUTRAL
597,597,Ebola nurse no longer critically ill http://bbc.in/1y3VJOb,ebola nurse longer critically ill,NEGATIVE
598,598,Hospital forced to chain toys to bed http://bbc.in/1FKHy5V,hospital forced chain toys bed,NEUTRAL
599,599,Plasters for the mind - the rise in mental health first aid http://bbc.in/1y2RouL,plasters mind rise mental health first aid,NEUTRAL
600,600,VIDEO: Health fears over train toilet waste http://bbc.in/1xfpWV5,video health fears train toilet waste,NEGATIVE
601,601,Higher premature death rate targeted http://bbc.in/1xfpVk5,higher premature death rate targeted,NEUTRAL
602,602,In search of a personalised diet http://bbc.in/1B7JMYJ,in search personalised diet,NEUTRAL
603,603,Blood test 'to help smokers quit' http://bbc.in/1y1daz9,blood test help smokers quit,NEUTRAL
604,604,How do we pay for innovative drugs? http://bbc.in/14mvkz0,how pay innovative drugs,NEUTRAL
605,605,VIDEO: 'We must plan ahead on cancer' http://bbc.in/1xcT7s5,video we must plan ahead cancer,NEUTRAL
606,606,VIDEO: Cancer task force looks at diagnosis http://bbc.in/1y6gOWK,video cancer task force looks diagnosis,NEUTRAL
607,607,VIDEO: Child marriage in Ivory Coast http://bbc.in/1FGyKOr,video child marriage ivory coast,NEUTRAL
608,608,All aboard the chemo bus http://bbc.in/1FFLHbh,all aboard chemo bus,NEUTRAL
609,609,VIDEO: Sussex GP weekend appointments offered http://bbc.in/1FFCmQE,video sussex gp weekend appointments offered,NEUTRAL
610,610,VIDEO: Chemotherapy on your doorstep http://bbc.in/1FFCkbE,video chemotherapy doorstep,NEUTRAL
611,611,NHS aims for earlier cancer diagnosis http://bbc.in/14hbdlB,nhs aims earlier cancer diagnosis,MIXED
612,612,VIDEO: How UK nurse may have got Ebola http://bbc.in/1AXEtuR,video how uk nurse may got ebola,NEUTRAL
613,613,VIDEO: In an Ebola treatment centre http://bbc.in/1xUfjMU,video in ebola treatment centre,NEUTRAL
614,614,A testing week for the NHS http://bbc.in/1BWN4wa,testing week nhs,NEUTRAL
615,615,The 'golden rule' of NHS politics http://bbc.in/1AS9X5J,the golden rule nhs politics,NEUTRAL
616,616,VIDEO: Why are A&amp;E queues rising at hospitals? http://bbc.in/14zytvH,video why amp queues rising hospitals,NEUTRAL
617,617,Vaccines move to Ebola frontline http://bbc.in/1x3gqEp,vaccines move ebola frontline,NEUTRAL
618,618,A&amp;E waits in England 'getting worse' http://bbc.in/1x2uZbw,amp waits england getting worse,NEGATIVE
619,619,Private firm pulls out of hospital http://bbc.in/1xYfMw3,private firm pulls hospital,NEUTRAL
620,620,Elastic implant 'reverses paralysis' http://bbc.in/1Fyh1IR,elastic implant reverses paralysis,NEUTRAL
621,621,VIDEO: Worst A&amp;E waiting times in a decade http://bbc.in/14xSHWw,video worst amp waiting times decade,NEGATIVE
622,622,Ebola nurse 'critical for some time' http://bbc.in/145VZzH,ebola nurse critical time,NEUTRAL
623,623,Flu cases 'highest for three years' http://bbc.in/1AKFaYw,flu cases highest three years,NEUTRAL
624,624,AUDIO: Drug company 'may take legal action' http://bbc.in/1FsNUGQ,audio drug company may take legal action,NEUTRAL
625,625,Ebola: A day with the burial team http://bbc.in/1AH9gMm,ebola day burial team,NEUTRAL
626,626,'Outrage' at NHS cancer drugs move http://bbc.in/1FoEUm8,outrage nhs cancer drugs move,NEUTRAL
627,627,VIDEO: Addenbrooke's declares 'major incident' http://bbc.in/1wVjUc5,video addenbrooke declares major incident,NEUTRAL
628,628,'Game-changing' antibiotic find http://bbc.in/1AFVGZC,game changing antibiotic find,NEUTRAL
629,629,MP: Pregnant women 'should not drink' http://bbc.in/14oYRZ2,mp pregnant women drink,NEUTRAL
630,630,VIDEO: Brain surgery for epilepsy sufferers http://bbc.in/1FnhFJ0,video brain surgery epilepsy sufferers,NEUTRAL
631,631,"Private medical school Â£36,000 fees http://bbc.in/1wUopDG",private medical school fees,NEUTRAL
632,632,Patients 'getting stuck in hospital' http://bbc.in/1AF53ZG,patients getting stuck hospital,NEUTRAL
633,633,AUDIO: A&amp;E doctor: We can't turn people away http://bbc.in/1AEGBHJ,audio amp doctor we turn people away,NEUTRAL
634,634,VIDEO: What is the best support for autism? http://bbc.in/14mCDHf,video what best support autism,NEUTRAL
635,635,VIDEO: 'Two hours waiting in ambulance' http://bbc.in/1AEc3G4,video two hours waiting ambulance,NEUTRAL
636,636,Ebola drug trial starts in Liberia http://bbc.in/1BILBcU,ebola drug trial starts liberia,NEUTRAL
637,637,Labour seeks summit to find A&amp;E 'fix' http://bbc.in/1FiS18i,labour seeks summit find amp fix,NEUTRAL
638,638,VIDEO: Why are hospital A&amp;Es struggling? http://bbc.in/1w0v7rE,video why hospital amp es struggling,NEGATIVE
639,639,More stressed NHS staff signed off http://bbc.in/1xORuob,more stressed nhs staff signed,NEGATIVE
640,640,VIDEO: 'Almost 12 hour wait for an ambulance' http://bbc.in/1ABqevz,video almost hour wait ambulance,NEUTRAL
641,641,Trusts cancel non-emergency ops http://bbc.in/1ABm2fi,trusts cancel non emergency ops,NEGATIVE
642,642,Diabetes life expectancy 'improving' http://bbc.in/1wS3tNQ,diabetes life expectancy improving,NEUTRAL
643,643,Women's lung cancer rates rocket http://bbc.in/1xzKXz5,women lung cancer rates rocket,NEUTRAL
644,644,VIDEO: Hunt responds to patients' A&amp;E woes http://bbc.in/1xNJyDu,video hunt responds patients amp woes,NEGATIVE
645,645,Mixed views on A&amp;E waiting times http://bbc.in/1FfLviF,mixed views amp waiting times,MIXED
646,646,'Unique' life of having two penises http://bbc.in/1wRyCki,unique life two penises,NEUTRAL
647,647,Ebola: New vaccine trial begins http://bbc.in/1Ffsflr,ebola new vaccine trial begins,NEUTRAL
648,648,VIDEO: NHS in crisis - Labour's Burnham http://bbc.in/1AzIFkl,video nhs crisis labour burnham,NEUTRAL
649,649,'Major incidents' at six hospitals http://bbc.in/1xyNMQO,major incidents six hospitals,NEUTRAL
650,650,VIDEO: 'Autism for me is a painful gift' http://bbc.in/1Ff9GOg,video autism painful gift,NEGATIVE
651,651,VIDEO: 'NHS saved my life five times' http://bbc.in/1wRrNPP,video nhs saved life five times,NEUTRAL
652,652,VIDEO: Emergency care system 'confusing' http://bbc.in/1xyHQr0,video emergency care system confusing,NEGATIVE
653,653,VIDEO: Lib Dems NHS funding gap pledge http://bbc.in/1wRlNq9,video lib dems nhs funding gap pledge,NEUTRAL
654,654,VIDEO: Record number 'living with cancer' http://bbc.in/1xyi863,video record number living cancer,NEUTRAL
655,655,VIDEO: A&amp;E performance target figures due http://bbc.in/1vXhB8g,video amp performance target figures due,NEUTRAL
656,656,Common cold 'prefers cold noses' http://bbc.in/1Fd2Fxj,common cold prefers cold noses,NEUTRAL
657,657,Cancer cases to reach 'record high' http://bbc.in/1xM7siN,cancer cases reach record high,NEUTRAL
658,658,A&amp;E performance 'to hit new low' http://bbc.in/1FcVFR1,amp performance hit new low,NEUTRAL
659,659,VIDEO: 'Full review' into Ebola nurse case http://bbc.in/1vUsibM,video full review ebola nurse case,NEUTRAL
660,660,Hospitals declare 'major incidents' http://bbc.in/1Ax2wRa,hospitals declare major incidents,NEUTRAL
661,661,UK Ebola nurse has 'stabilised' http://bbc.in/1Fb7nM0,uk ebola nurse stabilised,NEUTRAL
662,662,Aldi chocolate in salmonella scare http://bbc.in/1xKzU4A,aldi chocolate salmonella scare,NEGATIVE
663,663,VIDEO: Can gadget count calories digested? http://bbc.in/1xtlYgR,video can gadget count calories digested,NEUTRAL
664,664,VIDEO: Ebola nurse 'very committed' http://bbc.in/1Avne3M,video ebola nurse committed,NEUTRAL
665,665,VIDEO: Autism patients 'failed by system' http://bbc.in/1vRgIOz,video autism patients failed system,NEGATIVE
666,666,VIDEO: Extra screening tests for newborns http://bbc.in/1F8kKwF,video extra screening tests newborns,NEUTRAL
667,667,VIDEO: Ebola charity: 'No stone unturned' http://bbc.in/1vQKGCg,video ebola charity no stone unturned,NEUTRAL
668,668,Charity to probe UK Ebola nurse case http://bbc.in/1xs7D4k,charity probe uk ebola nurse case,NEUTRAL
669,669,"Cut children's sugar, parents told http://bbc.in/1AugALk",cut children sugar parents told,NEUTRAL
670,670,NHS 'sticking plaster' on inequality http://bbc.in/1vPGylZ,nhs sticking plaster inequality,NEGATIVE
671,671,Life-saving baby screening expanded http://bbc.in/1xIPT3b,life saving baby screening expanded,NEUTRAL
672,672,Hospitals declare major incident http://bbc.in/1wOW41I,hospitals declare major incident,NEUTRAL
673,673,VIDEO: Families 'should be involved in care' http://bbc.in/1AsmGM7,video families involved care,NEUTRAL
674,674,Proper checks in place for Ebola - PM http://bbc.in/1AsmEDS,proper checks place ebola pm,NEUTRAL
675,675,VIDEO: Cameron: 'NHS is not unaffordable' http://bbc.in/1vMeikd,video cameron nhs unaffordable,NEUTRAL
676,676,Labour in new NHS attack on Tories http://bbc.in/1vKaD6A,labour new nhs attack tories,NEUTRAL
677,677,UK Ebola nurse critical - hospital http://bbc.in/1xF7wAU,uk ebola nurse critical hospital,NEUTRAL
678,678,Learning disability checks 'success' http://bbc.in/1EXd0NM,learning disability checks success,NEUTRAL
679,679,Ebola flights' UK passengers traced http://bbc.in/1EWPSis,ebola flights uk passengers traced,NEUTRAL
680,680,VIDEO: World's 'epic battle' against Ebola http://bbc.in/1vBnMyO,video world epic battle ebola,MIXED
681,681,Most cancer types 'just bad luck' http://bbc.in/1AkLfus,most cancer types bad luck,NEGATIVE
682,682,VIDEO: Steps to beat 'hidden killer' sepsis http://bbc.in/1EO4AZ6,video steps beat hidden killer sepsis,NEUTRAL
683,683,VIDEO: 2014's medical milestone as man walks again http://bbc.in/1ENZig5,video medical milestone man walks,NEUTRAL
684,684,Babies of addicts 'display problems' http://bbc.in/1x748jE,babies addicts display problems,MIXED
685,685,Experimental drug for UK Ebola nurse http://bbc.in/1AaZqko,experimental drug uk ebola nurse,NEUTRAL
686,686,Ebola screening tests under scrutiny http://bbc.in/1tzPeCG,ebola screening tests scrutiny,NEUTRAL
687,687,VIDEO: UK Ebola screening under scrutiny http://bbc.in/1AhkGWX,video uk ebola screening scrutiny,NEUTRAL
688,688,Frontline NHS staff given honours http://bbc.in/1EGvG49,frontline nhs staff given honours,NEUTRAL
689,689,Plasma treatment for UK Ebola patient http://bbc.in/1EFCYoR,plasma treatment uk ebola patient,NEUTRAL
690,690,First Ebola case linked to bat play http://bbc.in/1AfLEyl,first ebola case linked bat play,NEUTRAL
691,691,VIDEO: How trials helped patients in 2014 http://bbc.in/1x0i0Mi,video how trials helped patients,NEUTRAL
692,692,Ebola patient arrives in London http://bbc.in/1voozCR,ebola patient arrives london,NEUTRAL
693,693,Are we too obsessed with NHS targets? http://bbc.in/1A6kqJb,are obsessed nhs targets,MIXED
694,694,Prescription fraud plan criticised http://bbc.in/1tfxwPe,prescription fraud plan criticised,NEGATIVE
695,695,VIDEO: Ebola patient to be flown to London http://bbc.in/1AeA3zy,video ebola patient flown london,NEUTRAL
696,696,Ebola case confirmed in Glasgow http://bbc.in/1ECcJzH,ebola case confirmed glasgow,NEUTRAL
697,697,Right-to-die campaigner Purdy dies http://bbc.in/1Ae67mW,right die campaigner purdy dies,NEGATIVE
698,698,VIDEO: Smoking 'rots you from the inside' http://bbc.in/1HV82gQ,video smoking rots inside,NEGATIVE
699,699,VIDEO: Robot-assisted surgery gains ground http://bbc.in/1EAoQ06,video robot assisted surgery gains ground,NEUTRAL
700,700,Smoking rot highlighted in campaign http://bbc.in/1Bj5SVI,smoking rot highlighted campaign,NEUTRAL
701,701,"Target drunks, A&amp;E boss urges police http://bbc.in/1vBV9SR",target drunks amp boss urges police,NEUTRAL
702,702,Why are so many drinks flavoured with honey? http://bbc.in/1Bg3Qpr,why many drinks flavoured honey,NEUTRAL
703,703,Ebola: How does it compare? http://bbc.in/1Ew4u8l,ebola how compare,NEUTRAL
704,704,Whooping cough virus 'evolving fast' http://bbc.in/1EsS15m,whooping cough virus evolving fast,NEUTRAL
705,705,Christmas baby born on US train http://bbc.in/1zGaAQh,christmas baby born us train,NEUTRAL
706,706,VIDEO: Football stadium disabled access tackled http://bbc.in/1B9uUXJ,video football stadium disabled access tackled,NEUTRAL
707,707,VIDEO: Lifestyle causes '40%' cancer cases http://bbc.in/1wMZyXq,video lifestyle causes cancer cases,NEGATIVE
708,708,VIDEO: How the world responded to Ebola http://bbc.in/1wMZAyw,video how world responded ebola,NEUTRAL
709,709,Life choices 'behind many cancers' http://bbc.in/1EmKlBA,life choices behind many cancers,NEUTRAL
710,710,"Paralysis cure, new vaginas...and other medical stories of 2014 http://bbc.in/1CSYm5s",paralysis cure new vaginas medical stories,NEUTRAL
711,711,Sierra Leone declares Ebola lockdown http://bbc.in/1EipSxQ,sierra leone declares ebola lockdown,NEUTRAL
712,712,Doctors warn of Loom bands danger http://bbc.in/1HEpqWR,doctors warn loom bands danger,NEUTRAL
713,713,Christmas menus: turtles to turkeys http://bbc.in/1B3DO91,christmas menus turtles turkeys,NEUTRAL
714,714,Putin acts to halt rising vodka cost http://bbc.in/1B2K3Kh,putin acts halt rising vodka cost,NEUTRAL
